"problemName","problemType","numCustomers","UAVspeed","UAVendurance","numTrucks","numUAVs","solverType","heuristicSwitch","timeLimit","initialHeuristicSoln","isOptimal","objVal","numTruckCust","numUAVcust","runTime"
"20140813T111651","small",10,NA,30,3,6,"DFJ",NA,1800,NA,1,152.269,10,0,15.405
"20140813T111651","small",10,NA,30,3,6,"BNP",0,1800,152.269,1,152.269,8,2,0.14
"20140813T111651","small",10,NA,30,3,6,"BNP",1,1800,152.269,0,152.269,8,2,0.002
"20140813T111701","small",10,NA,30,1,2,"DFJ",NA,1800,NA,1,202.217,8,2,0.013
"20140813T111701","small",10,NA,30,1,2,"BNP",0,1800,202.354,1,202.217,8,2,0.424
"20140813T111701","small",10,NA,30,1,2,"BNP",1,1800,202.354,0,202.354,8,2,0.005
"20140813T111701","small",10,NA,30,1,4,"DFJ",NA,1800,NA,1,202.217,8,2,0.014
"20140813T111701","small",10,NA,30,1,4,"BNP",0,1800,202.354,1,202.217,8,2,0.49
"20140813T111701","small",10,NA,30,1,4,"BNP",1,1800,202.354,0,202.354,8,2,0.003
"20140813T111701","small",10,NA,30,1,6,"DFJ",NA,1800,NA,1,202.217,8,2,0.033
"20140813T111701","small",10,NA,30,1,6,"BNP",0,1800,202.354,1,202.217,8,2,0.42
"20140813T111701","small",10,NA,30,1,6,"BNP",1,1800,202.354,0,202.354,8,2,0.003
"20140813T111701","small",10,NA,30,2,2,"DFJ",NA,1800,NA,1,130.858,9,1,0.851
"20140813T111701","small",10,NA,30,2,2,"BNP",0,1800,145.172,1,130.858,8,2,0.485
"20140813T111701","small",10,NA,30,2,2,"BNP",1,1800,145.172,0,130.858,9,1,0.022
"20140813T111701","small",10,NA,30,2,4,"DFJ",NA,1800,NA,1,130.858,9,1,0.845
"20140813T111701","small",10,NA,30,2,4,"BNP",0,1800,145.172,1,130.858,9,1,0.746
"20140813T111701","small",10,NA,30,2,4,"BNP",1,1800,145.172,0,130.858,8,2,0.009
"20140813T111701","small",10,NA,30,2,6,"DFJ",NA,1800,NA,1,130.858,10,0,1.219
"20140813T111701","small",10,NA,30,2,6,"BNP",0,1800,145.172,1,130.858,8,2,0.174
"20140813T111701","small",10,NA,30,2,6,"BNP",1,1800,145.172,0,130.858,8,2,0.005
"20140813T111701","small",10,NA,30,3,2,"DFJ",NA,1800,NA,1,123.964,10,0,17.8
"20140813T111701","small",10,NA,30,3,2,"BNP",0,1800,130.858,1,123.964,10,0,571.849
